,id,description,location
445,87156122,Paediatrician with an interest in Intensive Care ~ Red Wine Lover ~ Nomad ~ a.k.a. Lisa,"London, England"
449,484036132,"Cardiac Surgeon; Be honest, humble, kind and treat others like you want to be treated. Love outdoors and acting. Hero’s: my children.","London, England"
456,303321306,General & Transplant Surgeon @nhsscotland | fmr @scottishlabour parliamentary candidate,United Kingdom 
463,202664520,"Paediatrician, educationalist, simulation’ist’, researcher & proud father. Interested in interactions and conversation analysis. All views my own.","London, U.K."
467,2519461282,Transplant Surgeon @GSTTnhs @EvelinaLondon @GreatOrmondSt @KingsCollegeLon #ESOTcouncillor @ESOTtransplant @UEMSSurg Views my own. RT not endorsements.,"London, UK"
501,24606786,"Congenital Cardiologist, Cardiac Imaging Specialist, Paediatrician,  Pythonista, Machine learning and health care IT enthusiast.",UK
627,332480676,"Paediatric & Adult Congenital Interventional Cardiologist, @evelinalondon Children’s and @gsttnhs St Thomas' Hospitals","London, UK"
630,1028354224457953280,"Assoc Prof UCL Inst of child health.Consultant Paediatrician Great Ormond Street Hospital,London. Child & family health, UCL Med School. Views my own.",London
639,1061933405523374081,Consultant Paediatric Cardiologist👩‍⚕️ | Fetal CHD❤️💙| Mum of 2 small people | running on ☕️ | working in the North West 🇬🇧 | views my own,"Manchester, England"
641,828303760116051969,"Congenital Cardiologist, Echo specialist, Locum Consultant at Royal Brompton Hospital","England, United Kingdom"
655,2181191946,"NHS General Paediatrician. @YPHSIG Convenor. Passionate about transition, training & patient experience. Views my own. She/her","London, England"
673,846007646,Paediatrician @EvelinaLondon; Clinical Improvemt lead @GSTTnhs; Officer for Health Services @RCPCHtweets; Chair @NICEComms IAC; Ex-DH/PHE/CabinetOffice advisor,"London, England"
745,950187792,Cardiovascular sciences PhD candidate @Vascular_Prot @KingsCollegeLon supported by @theBHF I RNA & protein biomarkers I Aspiring Cardiologist🫀I 🇬🇧🇦🇹🇮🇹,London
774,57992357,NHS Cardiologist and Professor of Cardiovascular Medicine. Associate Director British Heart Foundation Data Science Centre (Personal Monitoring).,"Sheffield, UK"
812,821781706558541825,Cardiologist @RUHBath | President-Elect @BSEcho | Hon Senior Lecturer @UniOfBath| Echo | CMR | Sports Cardiology | PH | Editor Oxford handbook of Echo,"Bath, England"
822,1047080178495696896,Heart Failure Cardiologist,"Cambridge, England"
828,962103698360033281,Interventional Cardiologist| Complex PCI+IC imaging| MSc @Oxford_NDPH| Alumni @LSEHealthPolicy| HIIT|@HavantHC🏑|new🚵🏾‍♀️|music addict 🎧|🌎adventurer|🍷🍫👠,"England, United Kingdom"
838,1507333954868858897,Interventional Cardiologist,"West Midlands, England"
876,855811865963876353,Cardiologist. Heart failure/cardiomyopathy/imaging. Chair @BritishCardioSo G&P Committee.,"South West, England"
949,1110443250807119872,"MD, General Practitioner.Interests in Diabetes,CVD prevention,Lipidology,Medical Education & guitars.Opinions expressed are solely my own.","East, England"
950,1416107890100875273,"Interventional Cardiologist, Castle Hill Hospital, Hull University. @hullhospitals Alum: @stjamesdublin @UR_Med @PennMedicine @UniofGalway Tweets are mine own.","Hull, England"
955,766236808048943104,Cardiologist (heart failure & devices) QEH @uhbtrust | Associate Professor @ICVS_UoB | Alumni @TheGSAL + @Cambridge_Uni | Pleasures: 👨‍👩‍👧🏃☕✈📚.,"Birmingham, England"
985,2788086148,Congenital Cardiologist | Golden Jubilee Hospital | NHS Scotland | views expressed are my own,"Edinburgh, Scotland"
988,1105416942708551680,"Locum Consultant Cardiac and Transplant Surgeon | Director of Studies in Medicine Churchill College, University of Cambridge | Associate Editor ICVTS","Cambridge, England"
990,852849656,Cardiologist. ICC. Echo. Sports Cardiology.,"Manchester, England"
994,1248911409653702656,Consultant Interventional Cardiologist,"Swindon, England"
998,985835167,MD | PhD | FESC | Outcome research | Interventional Cardiology Registrar | Research Fellow,"Leeds, England"
1008,1228608286603304960,"Cardiologist, choral singing enthusiast, one-time flautist and would-be pianist. Views my own though why you think they’d be anyone else’s is anybody’s guess","Romsey, England"
1016,3303149913,NHS Consultant Gastroenterologist and IBD Service Lead @WalsallHcareNHS | Visiting Consultant @Bham_Childrens | MD | Wife and busy mum of 2 amazing boys,"Birmingham, England"
1052,498948789,"Consultant Interventional Cardiologist @FrimleyHealth. #RadialFirst #ComplexPCI #TAVI. Love travelling, films, 🇮🇳Cricket & 🟥LFC","London, England"
1093,2196672456,Interventional Cardiologist,"Colombo, formerly Norwich, UK"
1155,210975008,Yogi by dharma & cardiology in karma. In pursuit of infinite marma. NHS Cardiologist. Gratitude.,UK
1159,149781594,"Consultant Cardiologist-Syncope, Devices and Lead Electrophysiologist, New Cross Hospital, Wolverhampton UK. Passionate about Cardiac Rhythm Management","Wolverhampton, England"
1178,1354749778115047426,"MD-BSc, MSc, MPhil/PhD candidate at @uochester  @UoCMedSchool, Previous cardiology speciality trainee, cyclist and a former nonprofessional boxer","England, UK"
1190,21923519,"MD (Med); DM (Cardio); FRCP (London); FESC, FACC. Consultant Cardiologist NHS; Visiting Professor, Chairman, BMA Sunderland Division; President, BACIO UK.",United Kingdom
1220,537751215,"Granddaughter, daughter, sis, wife, mom, Mensa member, Surgeon MBChB MRCS MEd DIC FRCS (GS) Consultant Oncoplastic and Reconstructive Breast Surgeon",United Kingdom
1252,836976746,"Consultant Cardiologist, Royal Brompton Hospital, Senior Lecturer, St George's, University of London",London
1276,43740807,"Cardiologist now (probably) retired after working in the UK and NZ/Aotearoa. Walker, novice cyclist, cricket, rugby (union and league) fan.","Swanland, England"
1284,988402933971783680,"Cardiologist, Clinical Lead for Heart Failure, Kings College Hospital, London.","London, England"
1307,978285904971358208,Asso. Professor in Cardiology @UEA | \nFellow @WellcomeTrust | \nConsultant Cardiologist @NNUH | \n#CMR #4DFlow #Echo #haemodynamics #HF\n 🇪🇺🇬🇧🇮🇳🌎🫀,"Norwich, England"
1312,1423021527612678145,Multimodal Imaging Cardiologist (CMR/CT/Echo/3D). Educator. #EACVI #BCS @BSEcho Committees. WM Imaging Training Lead @nhsuhcw Haribo. House Music. Cricket. Cats,"Birmingham, England"
1319,1116595692871438336,"Interventional Cardiologist, Father, Husband, Man Utd Supporter","London, England"
1371,964931311898124288,Cardiologist at Worcestershire Acute Hospitals NHS Trust\nGeneral and Interventional cardiologist\nSet up WRH angioplasty service 2008\nPrivate cardiology services,"Worcester, England"
1387,302087493,Cardiologist working in heart transplantation and mechanical circulatory support,"Harefield, London"
1403,929871012,"Dad, husband, 🎣,Consultant Interventional Cardiologist (coronary and structural), Lancashire Cardiac Centre, Blackpool, 🇬🇧. Views expressed are my own.","Blackpool, England"
1410,165355925,"Interventional Cardiologist, West Ham United Sufferer, Cricket lover, Views my own.","Bristol, England"
1460,89670972,"Entrepreneur, MD of Oberoi Consulting, Oberoi Business Hub, Star of Secret Millionnaire, Apprentice You're Fired. Speaking/Media, Contact Agent @hkmanagementltd",UK
1476,140587457,"Head of Department, Professor of Cardiac Electrophysiology, Consultant Cardiologist, Research focus in Sudden Cardiac Death and Atrial Fibrillation","Leicester, England"
1576,747022680482811905,"Consultant Cardiologist (Heart Failure & Devices). Dad of 3, long-suffering follower of Reading FC #UTFD.","Manchester, UK"
1583,506555837,"Consultant Interventional Cardiologist, Yorkshire Heart Centre, Leeds Teaching Hospitals, high volume complex interventions, CTO, CHIP, EuroCTO Club Member","Leeds, England"
1590,90440371,"Strong hearts n happy lives..Interventional Cardiologist! Accidental photographer, lazy hiker and jogger","Plymouth, England"
1628,1350429919319306240,Interventional Cardiologist,"Newcastle Upon Tyne, England"
1661,17692670,"Barts Cardiologist & Innovator: https://t.co/WTIFkQNIKS\nhttps://t.co/ZtrtKPNLPS,   https://t.co/YCu0TXOmcw, https://t.co/eT4d8IJ35O. \n\nSuper 8(films), PPL(plane",London
1670,1279891907091615746,Interventional Cardiologist Worcester Royal Hospital,"Birmingham, United Kingdom"
1677,26813921,"Consultant Cardiologist (Cardio-Oncology and Imaging) Barts Heart Centre and UCLH.\nHonorary Clinical Senior Lecturer UCL & QMUL. \nDirector, Foundation Programme","London, England"
1775,232087779,Interventional Cardiologist & TAVI operator,"Derby, England"
1777,378590602,"Consultant Cardiologist with a specialist interest in Heart Failure, NHS Forth Valley. All views expressed are my own.","Glasgow, Scotland"
1785,1318561649041747970,Locum Consultant Cardiologist,"Newcastle Upon Tyne, England"
1793,979121931260780547,"Dad, husband, Interventional Cardiologist, Clinical Lecturer | #CHIP #TAVI #Mitral #Cardiac CT | Views are my own |",United Kingdom 
1797,1067855614301401090,"Consultant Cardiologist, Heart Failure & Devices, Liverpool Heart and Chest Hospital","Manchester, England"
1824,608440322,"Interventional Cardiologist | Lister Hospital, Hertfordshire | Hammersmith Hospital, London | Hon Senior Lecturer @UniofHerts | #CHIP #CTO #TAVI | tweets=own","England, United Kingdom"
1862,1080566620899160082,"Professor of Cardiovascular Medicine, Consultant Cardiologist and Electrophysiologist researching sudden death, genetics and genomics.","England, United Kingdom"
1886,147678644,Consultant Cardiologist & Electrophysiologist @GSTTnhs \nCoinventor @SiemensHealth \n#TopolFellowsNHS @HEE_DigiReady    pa@thelondonheartdoctor.co.uk,"London, England"
1927,925137059483914240,"Cardiologist, complex coronary interventionist, research enthusiast and grateful for the support of my family",United Kingdom
1972,1106327314667851776,"Diabetes & Endocrinology Pharmacist.  Manchester University Foundation Trust. Passion for inpatient care, MDT work and innovation. UKCPA Diabetes. 🇵🇹🇬🇧🇪🇺","Manchester, England"
1978,448409266,Intervention Cardiologist North Wales Cardiac Centre,"Wales, United Kingdom"
1983,1746856580,Consultant Cardiologist and Chest Pain Service Clinical Lead - Royal Cornwall Hospital. Chelsea Fan. All views are my own.,"South West, England"
2001,302724508,"Interventional Cardiologist, #Cardiology, #CTO, #CHIPPCI, Associate Editor at #EHJCaseReports, @EdinburghUni alumni, wilderness explorer, all things 🪴🌴🌱","Nottingham, England"
2005,2891374961,Consultant Cardiologist.Royal College of Physicians and GMC examiner. Views are my own and do not constitute medical advice.,"Cheshire , England"
2016,982296337520578560,"Clinical Senior Lecturer @ImperialCollege | Cardiologist/EP @ImperialNHS @ChelWestFT | Director, Cardiovascular BSc @ImperialMed | Research Lead @ChelWestEIC","London, England"
2051,58228262,"Father, Professor, Interventional Cardiologist, researcher, free thinker, athlete possibly","Flemingston, Wales"
2053,1263593922686644229,Past President @BrHeartValveSoc \nFather•Son•Husband•Cardiologist (Imaging)\nEchocardiography & Heart Valve Disease.\n🏏🏀🏓,"Southampton, England"
2134,1062803619341312004,"Consultant Cardiologist, Cardiac Imaging Specialist (CMR, Cardiac CT, stress echo, TOE) @UHD_NHS","Poole, England"
2160,2475146156,"Cardiologist, London. #TAVR, #TAVI, #LAA, #PVL, #PFO. Hammersmith Hospital/London Cardiovascular Clinic/OneWelbeck Heart Health. Opinionated.#radialfirst","London, England"
2196,954500177649336320,Clinical Lead. Cardiologist. Electrophysiologist. Digital Health. #cardiology #digitalhealth #atrialfibrillation Tweets and RT not medical advice / endorsements,"London, England"
2202,20188743,"Cardiologist and Echocardiographer. Barts Heart Centre, British Cardiovascular Society. (All views are my own)",Sussex and London
2211,780046206311493632,"Consultant Cardiologist, FRCP, FACC, Heart failure, Cardiomyopathy, CMR, Transplant #ALUMNI @WolfsonCollege @UniofOxford","London, England"
2235,425804634,"Consultant Interventional Cardiologist, Trent Cardiac Centre, Nottingham, Honorary Assistant Professor, University of Nottingham,All views are on my own..!","Birmingham, United Kingdom"
2246,1216838598177193984,Cardiologist. Special interest in heart failure and complex devices.,"Bournemouth, England"
2250,1143646254230118401,Interventional Cardiologist | Glenfield Hospital | CTO and complex PCI,"Leicester, England"
2257,2813780648,Cardiologist and researcher at Imperial College London,"England, United Kingdom"
2264,2505336979,Consultant Interventional Cardiologist.,"South East, England"
2280,1064235513241055233,"Interventional Cardiologist, cricket nut","Poole, England"
2331,550627254,"Cardiologist | Heart Failure, Cardiac Imaging (echo and cardiac CT) and Cardiac Devices.","Oxford, England"
2337,867121164640022528,"Interventional and Structural Cardiologist | Essex Cardiothoracic Centre. Interested in #TAVI, #TEER, #PFO, #Innovation","London, England"
2360,40295246,Interventional Cardiologist; Interested in health policy @LSEHealthPolicy,"South West, England"
2379,1438365883,Interventional Cardiologist.,"Dundee, Scotland"
2387,928919252962291712,"I am Consultant Cardiologist and my wife is a Dentist, aiming to improve awareness about Heart and tooth diseases in the UK and Pakistan. #CTO101 #CHIP","Warrington, England"
2437,1187668204329619456,Wessex post CCT interventional trainee. High-sensitivity troponin MD. Father of three boys.,"Southampton, England"
2439,939609087314223105,"Fellowship trained General and Interventional Cardiologist, 🫀🩺🇮🇳🇬🇧 Wexham Park Hospital (Frimley NHS Foundation Trust)","Slough- Berkshire, England"
2442,867458991944851457,Interventional Cardiologist and PFO Lead at Manchester University Hospitals NHS trust,"Manchester, England"
2479,56962502,"Bone Surgeon. EGA alumnus. NLA Leader. #Population health, #Mental Health, #Human psychology & #Innovation. 💪Leadership-Equity-Fairness-Inclusion. #NHS addict.","Birmingham, England"
2496,896696183934132224,Clinical Senior Lecturer @BartsCVCTU and Interventional Cardiologist at Barts Heart Centre,"London, England"
2497,887927329833586688,"Professor of Cardiac Surgery & Transplantation. Medical Examiner. Chairman EBCTS. Board Member ECTTA. Member-Academy of Master Surgeon Educators, Private Pilot","Newcastle Upon Tyne, England"
2498,704554791595347968,Cardiologist and ex-Medical Director St Bartholomew’s Hospital,"England, United Kingdom"
2530,1437150571,Consultant Interventional Cardiologist 🎈⛓ 🫀@FrimleyHealth #WexhamCardiology| MB @Cambridge_Uni PhD @UniofOxford| Photographer 📷 and Violinist 🎻,"Windsor, Berkshire, UK"
2542,1152499068796641280,"Cardiologist, Essex Cardiothoracic centre, Associate Professor ARU School of medicine. Passionate about improving cardiac arrest care, & coronary physiology",London
2594,577486699,"Consultant Cardiologist & Honorary Associate Professor, Inherited and Inflammatory Cardiovascular Diseases & Interventional Cardiology, Barts Heart Centre","London, England"
2607,4067869102,"Associate Professor of Vascular Surgery & Honorary Consultant Vascular & Endovascular Surgeon, NIHR Advanced Fellow. NIHR Leicester BRC.","London, England"
2626,482807456,Cardiologist in training (London)|DPhil Candidate @RDMOxford| President @theBSMA|🇸🇴 🇳🇱 🇬🇧,"Oxford, UK"
2632,4043869335,Interventional Cardiologist@ Ashford and St Peter’s,"London, England"
2656,2355955458,"Cardiologist, father, husband, dialysis patient","Warwickshire, England"
2670,1174966812200452098,Consultant Cardiologist @LeedsHospitals | Structural and Coronary Intervention | Car and motorsport obsessed,"Leeds, England"
2716,1133098423601827840,Consultant Cardiologist @BartsHospital President @BSCMR President CESMA Director of #MedEd TPD/SAC Vice Chair #CardioTwitter,"London, UK"
2724,87801083,Interventional Cardiologist at #FrimleyCardiology @FrimleyHealth since 2007 via @UniofOxford @FulbrightPrgrm @StanfordMed #CardioTwitter,"London, UK"
2749,965948717105909761,"President European Atherosclerosis Society, Professor of Public Health, Imperial College London. Cardiologist focusing on preventing coronary artery disease","London, England"
2767,604535451,"President @RCPhysicians, Interventional Cardiologist @RoyalPapworth,Clinical Lead @NHSGIRFT, Deputy Chair @TheBHF, Past President @BritishCardioSoc.Views mine.",United Kingdom
2773,740510020098531328,"Consultant Cardiologist in NHS Fife. Multimodality cardiac imager with an interest in valve disease, structural intervention and medical education.","Edinburgh, Scotland"
2781,3396821536,"Consultant Cardiologist at Imperial College Healthcare NHS Trust. Cardiac MRI, CT, Echo, HF, Clinical Trials, Research Reliability.",London/Cambridgeshire
2796,818093151520980993,Consultant Interventional Cardiologist @hhftnhs / Former Interventional Research and PCI Fellow @uhsft and @uhd_nhs / PCI history enthusiast,"Basingstoke, England"
2799,1001192364399120385,"Interventional Cardiologists providing practical education and training events at Barts Heart Centre, London","London, England"
2800,1180462753,"Interventional cardiologist, Lancashire Cardiac Centre, UK. Past fellow Uni of Western Ontario, Canada.\nCardiology Manchester.BartsSMD. Proud recipient of GC","Blackpool, England"
2804,256679070,"Cardiologist , free thinker 😇#ACHD#IMAGING#ECHO#CMR",United Kingdom
2805,57919993,Interventional Cardiologist @RBandH \n#OptimalPCI #ImageFirst #IntravascularLithotripsy \n#CardiogenicShock  #ComplexPCI #Mechanicalcirculatorysupport,"London, England"
2806,43076780,"Dad, Husband, Son, Interventional Cardiologist @NHSHighland @HighlandCathLab | Assoc Ed. #EHJCaseReports | Suffering @ManUtd fan | #cardiotwitter 🇲🇾🇬🇧","Bristol, England"
2871,705876708377944065,TransTasman Cardiologist,"Sydney, New South Wales"
2875,19113513,Cardiologist. Doctor. Pioneer. Author. Philanthropist. Geek. Healer. Comedian. Joker. Class act. Survivor. Networker. NBD. Multimodality CVImaging.,Manchester-Los Angeles-London
2882,1086390077209620480,"Interventional Cardiologist. Mother of 3 boys who are growing up too fast! Loves skiing and walking, outdoor life and building houses. Tweets my own.",Leicester England
2913,729385871871463426,"Consultant Cardiologist Electrophysiologist, Professor, Faculty of Health and Life Sciences, University of Liverpool, UK","Liverpool, England"
2922,1017882374,"Cardiologist, interest in maternal cardiology. Site Medical Director KGH. Cyclist and Spurs Supporter. Opinions are my own.","London, UK"
2923,1075857839674048513,Professor of Interventional Cardiology/ Consultant Cardiologist.       Expressed views are mine alone,"Southampton, England"
2934,1317384889,Interventional Cardiologist,"Newcastle Upon Tyne, England"
2943,1025757074863648770,Cardiologist. Thaththa to Lily&Eran. Husband to Jo. @Heart_BMJ Digital Media Intern. Hobbies: Cultivating mass/memes. he/him.,"Norwich, England"
2944,2385331942,"Cardiologist, Cardiff, U.K. Clinical & research interests: PCI, TAVI, TEER, HT/RDN, Catheter Tx for PE, IC imaging and physiology. https://t.co/pp4dqpRq86",United Kingdom
2945,3026863131,"Dad,Husband,Son,Brother| Consultant Interventional Cardiologist |@NorthBristolNHS @uhbwNHS @BHIBristol | Research and #whyCMR enthusiast | Deputy Editor EHJ-CR","Bristol, England"
2951,273066455,Heart Failure & Imaging Cardiologist in London | PhD @ KCL| Dad | Husband | Views my own | ❤️🔬,"London, England"
3024,27296693,#Heartfailure Cardiologist @LivHospitals Research Scholar @NIHRResearch #LFC #YNWA #renalcancer survivor #vegan Tweet=my opinion,"Liverpool, England"
3051,2842202433,Cardiologist (EP) based in NE London | Hon Clinical Senior Lecturer,"London, England"
3053,2842525641,The British Junior Cardiologists' Association represents the UK's future cardiologists. #SoMe #cardioed #ecg #echo,United Kingdom
3071,936348572005666817,Consultant Interventional Cardiologist / Hon Senior Lecturer / Long Suffering Aston Villa fan / Cricket Enthusiast,"England, United Kingdom"
3087,463978229,"CT Sx Trainee. Aspiring Tx Surgeon. MSc pt safety @EdinburghUni.“Under pressure, you don’t rise to the occasion, you sink to the level of your training”🇧🇩🇬🇧","Cambridge, England"
3091,715170360,Medical Director at a global CRO | Interventional Cardiologist | FESC | FACC | Series Editor @OUPMedicine | Alumnus @KingsCardio | TTID #COYS | Views my own,"City of London, London"
3108,2600951416,"Founder MedShr - network for doctors to share knowledge & save lives! Join over 2,500,000 members globally ! https://t.co/dFiqASu4ff Interventional Cardiologist",London
3116,162447803,"Consultant Cardiologist, Wythenshawe Hospital, MFT. NHS Senate Council, Greater Manchester, S Lancs.","Manchester, UK"
3119,1026097252027248645,"A group of experienced  Birmingham, UK Cardiologists who believe passionately in giving great heart care to their patients.","Birmingham, England"
3160,4867307043,"PGY-28. Cardiologist, who still loves clinical cardiology and cardiological science…this account is just for those…look elsewhere for other stuff!","Aberdeen, Scotland"
3175,3997333108,NHS Consultant Cardiologist interested in Prevention and Cardiac CT. Past President @bacpr Hon Senior Lecturer @LiverpoolCCS Founder + Director @VCardiology 👍,"Wirral, England, UK"
3182,392810349,"Interventional Cardiologist, #radialfirst","West Midlands, England"
3183,2357777604,Cardiologist | Electrophysiologist | ACHD EP lead | Bristol Heart Institute | TPD Cardiology Severn | Mum of girls | Cheer Mom | views my own not medical advice,"Bristol, UK"
3185,1004402884392472577,Interventional Cardiologist - Golden Jubilee Hospital - NHS Scotland - BHF Glasgow Cardiovascular Research Centre - University of Glasgow - Views my own,"Scotland, United Kingdom"
3194,361927091,"Dad of 5. Husband. Interventional Cardiologist in Bath and Bristol. BCIS Treasurer. Enjoy teaching and learning. 🚴‍, 🏊‍, 🏃‍ and ⛷ .","Bristol, England"
3199,895133334828756992,Interventional Cardiologist,"Glasgow, Scotland"
3207,200258403,Interventional Cardiologist at @LHCHFT. @UoS_Medicine graduate. @QueensCam MD. BCIS fellowship in BC. SCL @livuni Thinks about Arsenal too much!,"Liverpool, UK"
3210,2825583713,"GP Partner North Berwick HC, GPwSI Medical Education & CVRM, Content Advisor @WebMD @Medscape Global & UK, Scottish lead @pcdsociety","Haddington, Scotland"
3259,217493960,Consultant Breast and General Surgeon,"Birmingham, UK"
3265,134895450,"Interventional Cardiologist , Non Political ,Try to heal heart through hard work, humanism and Humor . all Tweets are my personal opinion. jai Hind👏🏼👏🏼",UK
3313,60697365,"Cons Interventional Cardiologist-UHS. NHS #radial#CTO#simulation. From Cowes. Live Lymington. 2 girls born@ George's 🤩 Like sailing, outdoors, wine. Views=mine","Southamton, England, UK"
3317,599546641,Cardiologist- Heart Failure & Advanced Echo \nDigital Health - Topol Digital Fellow 2019/2020 \nSection editor Cardiology in Focus @heart_bmj,"Bath, England"
3322,21885413,"Cardiologist @GSK @NHSBartsHealth. MD, MBA, PhD.",London & Philadelphia
3324,155529483,"Son, Brother, Husband, Doctor, Cardiologist.","Coventry, England"
3342,402072377,Consultant Cardiologist FRCP PhD; Interventionalist; Hon Senior Clinical Lecturer Imperial College. BCIS Comms Lead. RSM Cardiology President. Views own.,"London, England"
3349,390110516,Consultant Cardiologist at Sandwell and West Birmingham Hospitals NHS Trust, Birmingham UK
3352,3311392786,Interventional Cardiologist #CHIP #CTO #CTCA Birmingham City Hospital,"Birmingham, England"
3383,3901177641,#BHF Professor of Cardiology @EdinUniCVS | Data Driven Innovation Lead @EdinUniUsher | Associate Ed @CircAHA | #NHS Interventional Cardiologist #troponin,"Edinburgh, Scotland"
3389,832003381493432328,Professor of Interventional Cardiology @KeeleUniversity. Research interests: CV Epidemiology. AE Circulation: Cardiovascular Interventions. TCTMD. EAPCI. Hiking,United Kingdom
3407,33683039,HEE London Deputy Postgraduate Dean & Consultant Interventional Cardiologist. 5 Rules: Have a vision. Think big. Work hard. Give something back. Be kind 🇮🇪,London
3423,537869604,"Cardiologist, academic, hill-walker, backpacker, dog-lover","Yorkshire, England"
3425,853077397,"Personal Chair, Clinical Professor of Interventional Cardiology @UniofNewcastle | Academic Interventional Cardiologist @NewcastleHosps| Views are my own😊","Newcastle Upon Tyne, England"
3429,214653884,"Cardiologist and medical writer, with an interest in cardiac imaging. Faculty member at Medmastery & author of the Making Sense... series of cardiology books.",United Kingdom
3439,760436883734147073,"Professor of Cardiovascular Medicine, Honorary Consultant Cardiologist. Specialist adult cardiovascular care: putting research into practice to benefit patients","Leeds and Harrogate, England"
3443,4839064425,"Consultant Interventional Cardiologist and Clinical Director, City Hospital SWBH Trust. All views are my own.","Birmingham, England"
3463,227313900,"Cardiologist, ex-cricketer. Views are my own...",West Sussex UK
3538,155202983,Cardiologist UK & CH -  Editor-in-Chief @Open_HeartBMJ. News on #Cardiology #Heart #Cardiovascular #ESCDigitalSummit @escardio,Switzerland/ UK
3609,214558299,"Prof,Clinical Data Science @ucl. Cardiologist @NHSBartsHealth @uclh.Advisor @worldheartfed EL.Trustee @SouthAsianHF @LongCovidSOS. VP Digital @BritishCardioSo",University College London
3643,3007352614,Consultant Cardiologist        Birmingham City and Priory Hospitals,Birmingham & Sandwell UK
3693,7110962,NHS GP & Acting MD @ihcdudley. Tweets own thoughts-mainly health & ⚽️ (@wolves STH WL2). Mediocre squash / tennis / cycling. Yam yam credentials.,"Stourbridge, UK"
10301,1574924309663023107,Doctor || Medical educator || Aspiring Cardiologist || Education committee and SoMe @BritishCardioSo || Junior Editor for EHJ-CR @ESC_Journals || Movie buff,London/West-Midlands
10327,948783002,MD (Auth) • MSc (QMUL) • MRCP (UK),"Oxford, England"
10349,191957440,"MD, Researcher, IMT2. Old badminton player, amateur runner, chocoholic, coffeeholic, Esfahaner in London, traveler. 🏳️‍🌈 ally.🫀is my passion. Tweets mine.","London, England"
10410,1491310948275138561,Academic EP @UofGlasgow researching ventricular arrhythmia mechanisms & Cardiologist at WoS Inherited Cardiac Conditions service. Views are my own.,"Glasgow, Scotland"
10416,1104358191666810883,Consultant Cardiologist - Interventional Electrophysiology and Devices.,"Sheffield, England"
10459,216869870,"Consultant Cardiologist & Electrophysiologist, Medical Director at Southend Hospital & Deputy CMO Mid and South Essex NHS FT",London
10531,3081144875,Cardiologist and Electrophysiologist,"Bournemouth, England"
10572,1019945079782461440,Dr Neil Srinivasan Cardiologist And Electrophysiologist,"London, England"
10574,19163136,"Consultant Cardiologist, Reader & BHF fellow at Imperial College London.  Cardiac Clinical Director at Imperial NHS. opinions are my own.",London
10588,1143964853268357122,Consultant Cardiologist and Electrophysiologist. 🇬🇧 St. George’s Hospital. #EHRA_ESC e-communications committee member,"London, England"
10589,790895042948980737,"Cardiologist and specialist in complex pacing, heart failure and echocardiography.  Director for Research & Innovation at GWH.  The views expressed are my own.",United Kingdom
10591,1627547640,"MD,PhD🇮🇹 Imaging Cardiologist 🇬🇧; CEO @SCMRorg🇺🇸; Deputy Editor EHJ ❤️; Past#EACVI Secretary&Vice-Pres @escardio🇪🇺. Aptitude+Attitude= Altitude.Ownviews","London, United Kingdom"
